M,S,1,49
L,S,542,10024,12
L,B,543,10034,27
L,S,544,10015,12
L,S,545,10015,14
L,S,546,10036,34
C,464
L,S,548,10034,45
L,S,549,10028,9
L,S,550,10028,2
L,B,551,10028,19
L,B,552,10028,37
M,B,553,42
L,S,554,10030,36
L,B,555,10037,9
L,S,556,10035,7
L,B,557,10034,7
L,B,558,10023,35
L,S,559,10031,50
L,S,560,10024,9
L,S,561,10030,50
L,B,562,10026,50
L,B,563,10013,44
L,B,564,10020,3
L,B,565,10017,20
L,S,566,10016,21
L,B,567,10024,16
L,B,568,10021,35
L,S,569,10021,15
L,S,570,10013,17
M,B,571,36
C,257
M,B,573,14
L,S,574,10023,19
L,S,575,10026,6
C,151
L,S,577,10019,30
L,B,578,10019,20
L,B,579,10024,19
C,9
L,S,581,10031,14
L,S,582,10023,13
M,S,583,40
L,S,584,10022,29
C,149
M,S,586,59
L,B,587,10016,6
L,B,588,10021,35
L,S,589,10016,35
L,B,590,10016,37
C,416
L,S,592,10020,26
L,S,593,10016,31
L,B,594,10020,35
L,S,595,10014,13
L,S,596,10021,18
L,S,597,10016,15
M,B,598,43
L,B,599,10010,46
L,S,600,10009,14
L,S,601,10029,15
C,336
L,S,603,10026,38
L,B,604,10014,37
L,S,605,10011,12
L,S,606,10018,32
L,B,607,10012,41
L,S,608,10008,44
L,S,609,10021,40
C,112
L,S,611,10015,2
L,B,612,10022,37
L,S,613,10015,11
L,S,614,10024,29
L,S,615,10022,6
C,13
C,206
L,S,618,10012,22
L,B,619,10016,46
C,343
L,S,621,10008,6
C,211
L,S,623,10012,15
L,S,624,10013,13
L,S,625,10004,29
L,B,626,10008,47
L,S,627,10020,33
L,B,628,10007,48
L,B,629,10018,25
L,S,630,10004,46
L,B,631,10016,25
L,S,632,10013,17
C,555
C,103
L,B,635,10008,30
C,34
L,S,637,10015,23
L,B,638,10018,25
C,552
L,B,640,10009,28
L,S,641,10016,4
L,S,642,10011,41
L,B,643,10017,47
C,131
L,B,645,10021,34
L,S,646,10013,42
L,B,647,10010,3
C,248
M,S,649,29
L,B,650,10009,6
L,S,651,10012,36
L,B,652,10020,13
L,S,653,10024,18
L,S,654,10021,46
L,B,655,10020,21
L,B,656,10024,23
L,S,657,10017,40
L,B,658,10041,26
L,S,659,10023,44
L,S,660,10027,37
C,629
L,S,662,10028,12
L,B,663,10022,40
L,B,664,10028,31
L,S,665,10014,50
L,S,666,10018,21
L,S,667,10034,9
L,B,668,10031,40
L,B,669,10016,11
L,B,670,10022,17
L,S,671,10037,10
L,B,672,10030,6
L,B,673,10013,17
M,B,674,4
L,S,675,10030,15
L,B,676,10007,39
L,S,677,10024,43
L,S,678,10031,1
L,B,679,10026,43
L,S,680,10018,17
L,S,681,10020,15
L,S,682,10006,24
L,S,683,10027,44
L,B,684,10024,10
L,S,685,10018,46
L,B,686,10028,29
L,S,687,10019,33
M,B,688,54
L,B,689,10011,33
L,B,690,10041,18
M,B,691,10
L,S,692,10013,14
L,S,693,10010,48
L,B,694,10022,39
C,24
L,B,696,10004,5
L,S,697,10011,7
L,B,698,10010,44
L,S,699,10017,40
L,S,700,10008,28
L,S,701,10017,39
L,B,702,10034,15
L,B,703,10021,10
L,S,704,10022,43
L,B,705,10021,43
M,B,706,36
L,B,707,10034,17
L,B,708,10027,18
L,S,709,10025,19
L,B,710,10020,17
L,B,711,10009,32
M,S,712,3
L,S,713,10017,3
L,S,714,10030,45
C,14
L,B,716,10032,6
L,S,717,10021,11
L,S,718,10027,19
M,B,719,25
L,S,720,10012,19
L,B,721,10024,32
M,S,722,6
L,B,723,10019,12
L,S,724,10039,41
L,B,725,10030,1
C,114
L,S,727,10019,4
M,B,728,14
C,541
C,675
C,518
C,214
L,B,733,10031,45
L,B,734,10025,44
L,S,735,10026,40
C,538
L,B,737,10018,22
L,B,738,10021,17
L,B,739,10022,46
L,S,740,10042,33
M,S,741,35
C,290
M,B,743,11
L,S,744,10026,17
C,41
L,S,746,10029,24
L,B,747,10026,17
L,S,748,10040,10
C,347
L,B,750,10024,1
L,B,751,10028,28
L,S,752,10027,28
L,B,753,10040,11
L,B,754,10037,25
L,B,755,10023,45
L,S,756,10026,21
L,S,757,10029,25
L,S,758,10034,16
C,750
C,378
C,421
L,B,762,10022,11
L,S,763,10041,11
L,S,764,10041,32
L,S,765,10026,16
L,S,766,10027,36
L,S,767,10026,6
L,B,768,10037,31
L,S,769,10024,36
C,588
L,B,771,10035,36
L,S,772,10030,24
L,S,773,10040,37
L,B,774,10039,14
L,B,775,10034,43
L,S,776,10017,32
C,271
L,B,778,10029,40
L,S,779,10024,7
L,S,780,10027,2
L,B,781,10038,39
L,S,782,10029,1
L,S,783,10032,21
L,S,784,10027,45
L,B,785,10020,33
C,521
L,B,787,10028,15
L,B,788,10021,42
L,B,789,10014,50
L,S,790,10029,8
L,S,791,10017,21
L,S,792,10030,9
C,187
L,S,794,10030,29
M,B,795,54
L,B,796,10032,41
C,549
L,B,798,10023,15
L,B,799,10026,46
L,B,800,10032,3
L,S,801,10045,41
L,S,802,10016,49
L,S,803,10027,20
L,B,804,10032,38
L,B,805,10024,46
L,S,806,10010,5
L,S,807,10015,9
C,449
C,152
L,S,810,10023,23
L,S,811,10041,28
L,S,812,10028,28
L,B,813,10024,1
L,S,814,10026,4
C,625
L,S,816,10032,40
L,S,817,10032,18
L,B,818,10013,6
L,S,819,10012,14
L,S,820,10026,37
L,B,821,10035,7
L,S,822,10032,28
C,334
L,B,824,10026,28
L,S,825,10027,48
L,B,826,10017,1
L,B,827,10019,46
L,B,828,10026,20
L,B,829,10023,46
L,S,830,10020,30
C,663
L,S,832,10029,44
L,B,833,10027,38
L,B,834,10026,13
L,B,835,10026,34
L,B,836,10027,35
L,S,837,10022,2
L,B,838,10026,17
L,S,839,10034,4
L,S,840,10021,48
L,B,841,10010,44
L,S,842,10024,14
L,B,843,10020,14
M,B,844,56
L,S,845,10022,25
L,B,846,10025,47
L,S,847,10023,42
L,B,848,10033,47
L,S,849,10029,23
L,S,850,10026,8
L,B,851,10039,12
L,B,852,10017,10
L,S,853,10036,33
L,B,854,10019,20
C,608
L,S,856,10020,14
M,B,857,58
L,S,858,10033,27
L,B,859,10021,44
L,S,860,10029,15
L,B,861,10024,16
L,S,862,10028,15
C,218
L,B,864,10023,26
C,199
L,B,866,10028,20
L,B,867,10026,11
L,B,868,10024,23
L,B,869,10010,23
L,B,870,10027,18
L,S,871,10020,3
L,B,872,10012,31
L,S,873,10023,37
L,S,874,10032,50
L,S,875,10024,37
C,521
L,B,877,10023,3
L,S,878,10020,31
L,S,879,10020,29
L,S,880,10032,23
C,492
L,B,882,10017,7
L,B,883,10010,48
L,S,884,10028,37
L,B,885,10026,31
L,S,886,10024,1
L,S,887,10022,45
L,S,888,10023,32
L,B,889,10022,33
L,B,890,10022,9
L,B,891,10016,9
M,S,892,29
L,B,893,10022,15
M,S,894,44
L,B,895,10029,47
L,S,896,10032,5
C,38
C,116
L,B,899,10014,18
L,B,900,10022,11
C,151
L,B,902,9997,4
L,S,903,10008,14
C,886
L,S,905,10028,19
L,B,906,10014,3
M,S,907,40
C,195
C,343
L,S,910,10012,9
L,S,911,10017,11
M,S,912,30
C,261
L,S,914,10019,15
L,B,915,10015,20
L,S,916,10017,7
L,S,917,10015,2
L,S,918,10025,24
M,S,919,36
L,S,920,10011,15
L,S,921,10015,4
L,S,922,10017,45
M,B,923,27
L,B,924,10021,42
L,B,925,10024,17
L,S,926,10012,13
C,9
L,B,928,10027,25
L,S,929,10007,2
L,B,930,10017,20
L,S,931,10014,45
L,S,932,10009,50
L,S,933,10010,11
L,S,934,10012,38
L,B,935,10008,37
L,B,936,10018,22
L,B,937,10008,4
L,S,938,10008,4
L,S,939,10015,33
M,B,940,17
L,S,941,10004,11
L,B,942,10010,45
L,B,943,10018,28
M,S,944,10
C,679
L,S,946,10011,45
L,B,947,10015,35
L,B,948,10006,17
L,B,949,10021,4
L,B,950,10017,10
L,B,951,10006,5
L,S,952,10016,21
L,S,953,10015,34
C,117
L,S,955,10008,12
C,60
L,S,957,10019,20
L,B,958,10005,29
L,S,959,10011,27
L,S,960,10009,28
L,B,961,9998,32
L,B,962,10006,10
L,B,963,10017,37
L,B,964,10016,15
C,870
L,S,966,10015,47
L,B,967,10011,10
L,B,968,10006,21
L,S,969,9994,32
L,B,970,10005,22
L,B,971,10005,37
L,B,972,10009,28
L,S,973,10012,44
C,383
L,S,975,10000,47
C,454
L,B,977,10014,4
L,B,978,10007,1
L,B,979,10001,19
M,S,980,43
L,B,981,10000,18
L,B,982,10009,23
L,S,983,10012,46
L,B,984,10004,32
L,B,985,10005,32
L,S,986,10005,9
C,192
C,971
M,B,989,36
L,S,990,9999,6
L,S,991,10007,26
L,S,992,10011,42
L,S,993,10017,39
L,B,994,10014,7
L,S,995,10006,50
L,B,996,9997,22
M,B,997,2
L,B,998,10000,9
L,S,999,10003,25
C,818
L,S,1001,9995,16
L,B,1002,10006,14
L,B,1003,10013,1
L,S,1004,10016,18
L,B,1005,10016,33
L,B,1006,10008,30
L,S,1007,10009,48
L,S,1008,10013,23
L,B,1009,10011,35
L,S,1010,10004,21
C,472
L,S,1012,10009,5
L,S,1013,10008,24
L,B,1014,10011,39
L,B,1015,10000,10
M,B,1016,17
L,S,1017,10001,48
L,S,1018,9990,6
L,B,1019,9996,30
C,375
L,B,1021,10008,1
M,B,1022,1
L,S,1023,10003,49
C,105
M,B,1025,12
L,B,1026,10003,4
L,B,1027,10001,40
C,149
L,B,1029,9997,8
L,S,1030,9999,2
L,S,1031,10005,21
C,38
L,S,1033,9991,32
L,B,1034,9998,46
C,500
L,S,1036,9997,6
L,B,1037,9997,20
L,B,1038,9995,36
L,S,1039,9994,8
L,B,1040,9991,6
C,203
L,B,1042,10005,33
L,B,1043,10005,24
L,S,1044,10001,38
L,S,1045,9998,3
L,B,1046,9991,41
M,B,1047,41
L,B,1048,10009,49
L,S,1049,10000,40
L,S,1050,10003,8
M,S,1051,33
C,527
L,B,1053,9995,49
L,B,1054,10008,34
L,B,1055,10008,25
L,S,1056,10006,45
L,B,1057,10007,48
L,B,1058,10004,31
L,B,1059,9996,6
L,S,1060,9997,22
L,S,1061,9994,16
C,295
L,S,1063,10003,10
L,S,1064,10001,14
C,685
L,S,1066,9997,15
L,B,1067,9994,30
L,S,1068,10009,25
C,629
M,S,1070,45
L,S,1071,10006,16
L,S,1072,9990,46
L,B,1073,9996,24
L,B,1074,10008,3
L,B,1075,9998,23
L,S,1076,9996,30
C,750
L,S,1078,9997,28
L,S,1079,10002,44
L,B,1080,10001,32
L,S,1081,9993,37
C,110
L,B,1083,10001,3
C,914
C,65
L,S,1086,9998,17
L,S,1087,10002,41
L,S,1088,10002,43
M,B,1089,49
C,452
L,S,1091,10006,39
L,B,1092,10013,49
L,B,1093,10005,41
L,S,1094,9999,5
L,S,1095,10001,27
L,S,1096,10006,32
L,S,1097,10006,18
L,B,1098,10011,21
L,S,1099,10003,38
L,B,1100,10009,6
M,B,1101,40
L,B,1102,10022,7
C,309
L,S,1104,10007,33
C,847
L,S,1106,10010,23
L,B,1107,10012,12
C,24
L,S,1109,10001,27
M,S,1110,27
L,B,1111,10016,1
M,B,1112,10
L,B,1113,10011,49
M,S,1114,53
L,S,1115,10018,19
L,B,1116,10016,3
L,S,1117,10024,18
L,S,1118,10001,48
L,S,1119,10006,27
L,S,1120,10024,21
L,S,1121,10007,27
L,S,1122,10012,13
L,S,1123,10014,33
L,S,1124,10019,49
L,B,1125,10016,33
L,B,1126,10021,27
L,B,1127,10004,17
L,B,1128,10003,17
L,B,1129,10003,19
M,S,1130,43
L,S,1131,10011,19
L,S,1132,10010,21
L,B,1133,10013,22
L,B,1134,10014,9
L,B,1135,10015,29
L,B,1136,10009,14
M,S,1137,36
L,B,1138,10005,8
L,B,1139,10001,47
L,B,1140,9998,11
L,S,1141,10017,32
M,S,1142,39
L,B,1143,10010,12
L,S,1144,9990,13
L,B,1145,10005,12
C,384
L,B,1147,10007,15
L,S,1148,10015,14
M,B,1149,39
L,B,1150,10011,6
L,B,1151,10007,12
L,B,1152,10019,48
M,S,1153,16
L,B,1154,9992,17
L,B,1155,10015,32
L,B,1156,9994,25
L,S,1157,10012,48
C,853
L,B,1159,10001,6
L,S,1160,10010,16
L,S,1161,10014,3
L,B,1162,10016,16
M,B,1163,20
C,273
L,B,1165,10006,49
L,B,1166,10009,20
L,B,1167,10010,13
L,S,1168,10008,21
C,574
L,B,1170,10015,42
L,S,1171,10010,4
L,B,1172,10006,31
L,S,1173,10027,6
L,S,1174,10020,38
L,B,1175,10003,31
L,B,1176,10005,35
L,S,1177,10025,17
L,B,1178,10011,37
M,B,1179,53
L,B,1180,9998,40
L,S,1181,10007,19
L,S,1182,10023,38
L,S,1183,10000,37
L,B,1184,10020,11
L,B,1185,10015,21
L,B,1186,10005,1
C,104
L,S,1188,10009,11
L,B,1189,10005,24
L,S,1190,10018,25
L,S,1191,10012,26
C,1127
L,B,1193,10017,19
L,S,1194,10006,39
L,B,1195,10004,22
M,S,1196,21
L,B,1197,10017,25
L,S,1198,10017,10
L,B,1199,10006,21
L,B,1200,10010,24
L,S,1201,10003,41
C,188
L,S,1203,10008,4
L,S,1204,9994,28
L,B,1205,10009,30
L,S,1206,10005,15
L,B,1207,10007,42
L,S,1208,9998,36
M,S,1209,38
M,S,1210,41
L,B,1211,10015,39
L,S,1212,10007,33
L,S,1213,10023,6
L,S,1214,10008,41
L,B,1215,10001,45
M,S,1216,40
C,94
L,B,1218,10015,35
L,S,1219,10004,2
L,B,1220,10006,1
L,S,1221,10009,10
C,699
L,B,1223,10001,44
L,B,1224,10001,6
C,435
L,S,1226,10012,29
L,B,1227,10009,18
L,S,1228,10027,9
L,S,1229,10017,47
L,B,1230,10007,16
L,B,1231,10011,9
C,336
L,S,1233,10010,21
L,B,1234,10011,30
L,B,1235,10022,40
C,1126
L,B,1237,10017,4
C,687
L,S,1239,10007,29
L,S,1240,9995,22
L,B,1241,10013,39
C,826
L,S,1243,10013,7
C,677
M,S,1245,42
L,S,1246,10010,29
C,1013
L,B,1248,10017,20
L,S,1249,10010,33
L,B,1250,10016,27
L,S,1251,10003,8
L,B,1252,10017,23
L,S,1253,10024,42
L,B,1254,10017,26
L,S,1255,10011,26
C,1023
L,S,1257,10014,13
L,B,1258,10008,32
L,S,1259,10009,48
L,S,1260,10021,36
L,B,1261,10020,20
L,S,1262,10016,3
C,216
L,S,1264,10012,25
L,B,1265,10009,19
L,B,1266,10008,9
L,B,1267,10007,37
L,B,1268,10006,25
L,B,1269,10010,25
L,B,1270,10014,37
L,B,1271,10017,43
C,1088
C,147
L,B,1274,10002,31
L,S,1275,10020,45
L,S,1276,9999,21
L,S,1277,10006,41
C,481
L,S,1279,10014,48
L,B,1280,10003,25
L,B,1281,10007,21
L,B,1282,9997,6
L,S,1283,9997,24
L,B,1284,10006,35
L,B,1285,10011,23
C,874
L,S,1287,9996,24
L,B,1288,10006,39
L,B,1289,10008,10
L,B,1290,10001,11
L,B,1291,9988,39
C,926
C,1208
L,B,1294,10011,20
L,B,1295,10009,40
L,B,1296,9989,13
C,351
L,S,1298,10012,9
L,S,1299,10002,24
L,S,1300,9993,12
C,890
L,B,1302,9992,24
L,S,1303,9999,18
L,S,1304,10009,39
M,S,1305,7
C,413
M,B,1307,21
L,S,1308,10006,2
L,B,1309,9995,29
L,S,1310,9995,50
C,848
L,S,1312,9997,41
L,S,1313,10013,43
C,255
L,S,1315,9998,50
L,B,1316,10002,41
L,B,1317,9993,30
L,B,1318,9995,46
L,B,1319,10003,16
L,S,1320,10002,38
L,S,1321,10005,28
L,S,1322,10003,29
L,B,1323,9996,26
L,B,1324,10008,23
L,S,1325,9993,38
L,B,1326,10005,26
L,B,1327,10004,12
L,B,1328,9994,50
L,B,1329,9995,38
L,S,1330,10004,20
L,B,1331,9996,39
M,S,1332,13
L,S,1333,10007,18
C,1333
L,B,1335,9989,21
C,713
L,S,1337,10003,29
C,507
L,S,1339,10009,19
L,B,1340,10005,39
L,S,1341,10000,28
L,S,1342,10004,9
L,S,1343,9991,22
L,B,1344,9995,43
L,B,1345,9990,23
M,B,1346,13
L,S,1347,10004,1
L,S,1348,9987,35
L,S,1349,9991,12
L,S,1350,9986,20
C,1219
L,B,1352,10002,4
L,B,1353,9990,4
L,B,1354,10004,30
L,B,1355,9991,11
L,S,1356,9992,37
L,S,1357,9997,26
L,S,1358,9990,14
L,S,1359,9979,39
M,S,1360,23
C,1135
L,B,1362,10009,11
L,S,1363,9981,1
C,579
L,B,1365,10005,48
L,S,1366,9997,40
L,S,1367,10000,21
L,B,1368,10006,31
L,B,1369,9997,18
L,S,1370,9992,20
C,774
L,S,1372,10005,28
L,B,1373,9987,36
M,S,1374,32
L,S,1375,9985,49
L,B,1376,10000,35
C,746
C,1173
L,B,1379,9997,6
L,S,1380,10002,27
L,S,1381,9999,10
L,B,1382,10003,49
L,S,1383,9993,8
L,B,1384,9986,1
C,47
L,S,1386,9998,26
L,S,1387,9997,46
L,B,1388,9998,34
L,B,1389,9995,8
L,B,1390,9995,22
L,B,1391,10001,32
L,B,1392,10005,40
L,B,1393,9995,33
C,1345
L,B,1395,9996,30
L,S,1396,9999,44
L,S,1397,9996,17
L,S,1398,10004,46
C,33
L,S,1400,10000,24
L,B,1401,9995,46
M,S,1402,13
M,S,1403,15
L,S,1404,10003,41
